代码,名称,申购代码,招股日期,网上发行日期,上市日期,上市板,发行价格,发行市盈率,行业PE(披露值),发行数量总计(万股),新股发行数量(万股),老股转让数量(万股),网下配售数量(万股),网上发行数量(万股),回拨比例(%),预计募资(上市公司)(亿元),募资总额(上市公司)(亿元),募资净额(上市公司)(亿元),上市公司发行费用(万元),上市公司发行费率(%),老股转让费用(万元),转让费率(%),发行费用合计(万元),发行费率(%),承销及保荐费(万元),审计及验资费(万元),法律费用(万元),信息披露费(万元),发行方式,承销方式,主承销商,审计机构,资产评估机构,律师事务所,发行公告日期,承销商认购余股(万股),包销金额(万元),包销比例,面值,省份,证监会行业(2012版),证监会行业,Wind行业,证券类型,交易所,上市首日涨跌幅%,上市5日涨跌幅%,上市10日涨跌幅%,上市20日涨跌幅%
300910.SZ,瑞丰新材,300910,2020/11/9,2020/11/18,2020/11/27,创业板,30.26,47.43,28.9,3750,3750,0,1931.25,1818.75,20,3.82,11.35,10.42,9291.63,8.19,0,0,9291.63,8.19,7345.96,650.94,452.83,490.57,"网下询价,上网定价",余额包销,东兴证券股份有限公司,中汇会计师事务所(特殊普通合伙),上海立信资产评估有限公司,江苏世纪同仁律师事务所,2020/11/17,2.83,85.55,0.08,1,河南,化学原料和化学制品制造业,,材料--材料Ⅱ--化工--基础化工,A股,深圳,240.38,-15.53,-26.46,
003004.SZ,声迅股份,3004,2020/11/9,2020/11/17,2020/11/26,中小企业板,20.26,22.99,65.77,2046,2046,0,204.6,1841.4,50,4.15,4.15,3.78,3643.69,8.79,0,0,3643.69,8.79,2118.55,471.7,550,471.7,"网下询价,上网定价",余额包销,西部证券股份有限公司,永拓会计师事务所(特殊普通合伙),北京国融兴华资产评估有限责任公司,北京市康达律师事务所,2020/11/16,3.78,76.68,0.18,1,北京,软件和信息技术服务业,,信息技术--技术硬件与设备--电子设备、仪器和元件--电子设备和仪器,A股,深圳,43.98,61.06,36.2,
605177.SH,东亚药业,707177,2020/11/6,2020/11/16,2020/11/25,主板,31.13,22.99,53.3,2840,2840,0,284,2556,50,8.84,8.84,7.82,10165.35,11.5,0,0,10165.35,11.5,6143.87,2243.63,695.75,611.32,"网下询价,上网定价",余额包销,东兴证券股份有限公司,中汇会计师事务所(特殊普通合伙),坤元资产评估有限公司,上海市通力律师事务所,2020/11/13,8.52,265.21,0.3,1,浙江,医药制造业,,医疗保健--制药、生物科技与生命科学--制药--西药,A股,上海,44.01,10.33,-2.61,
300908.SZ,仲景食品,300908,2020/10/30,2020/11/11,2020/11/23,创业板,39.74,46.27,59.7,2500,2500,0,1287.5,1212.5,20,5.73,9.94,9.13,8075.34,8.13,0,0,8075.34,8.13,6749.53,450,300.66,537.74,"网下询价,上网定价",余额包销,国金证券股份有限公司,中天运会计师事务所(特殊普通合伙),北京亚太联华资产评估有限公司,北京市普华律师事务所,2020/11/10,2.73,108.44,0.11,1,河南,食品制造业,,日常消费--食品、饮料与烟草--食品--食品加工与肉类,A股,深圳,203.98,-14.75,-14.06,
688777.SH,中控技术,787777,2020/11/3,2020/11/11,2020/11/24,科创板,35.73,64.04,65.91,4913,4913,0,3697,1216,10,17.25,17.55,16.37,11808.88,6.73,0,0,11808.88,6.73,8259.23,1950,980,551.89,"战略配售,网下询价,上网定价",余额包销,申万宏源证券承销保荐有限责任公司,天健会计师事务所(特殊普通合伙),坤元资产评估有限公司,北京市金杜律师事务所,2020/11/10,2.1,74.98,0.04,1,浙江,软件和信息技术服务业,,信息技术--软件与服务--信息技术服务--信息科技咨询与其它服务,A股,上海,204.03,6.97,6.37,
605068.SH,明新旭腾,707068,2020/11/3,2020/11/11,2020/11/23,主板,23.17,22.99,37.32,4150,4150,0,415,3735,50,9.62,9.62,8.72,8955.5,9.31,0,0,8955.5,9.31,5805.4,1597.87,990.57,518.87,"网下询价,上网定价",余额包销,第一创业证券承销保荐有限责任公司,天健会计师事务所(特殊普通合伙),中联资产评估集团有限公司,上海市锦天城律师事务所,2020/11/10,12.69,294.03,0.31,1,浙江,皮革、毛皮、羽毛及其制品和制鞋业,,可选消费--汽车与汽车零部件--汽车零配件--机动车零配件与设备,A股,上海,43.98,17.27,18.14,
300907.SZ,康平科技,300907,2020/10/30,2020/11/9,2020/11/18,创业板,14.3,30.3,35.74,2400,2400,0,1236,1164,20,3.96,3.43,2.92,5139.65,14.98,0,0,5139.65,14.98,3056.6,805.66,720.13,478.3,"网下询价,上网定价",余额包销,华泰联合证券有限责任公司,信永中和会计师事务所(特殊普通合伙),金证(上海)资产评估有限公司,国浩律师事务所,2020/11/6,1.89,27.03,0.08,1,江苏,通用设备制造业,,工业--资本货物--机械--工业机械,A股,深圳,319.65,-11.35,-12.53,
300909.SZ,汇创达,300909,2020/10/30,2020/11/9,2020/11/18,创业板,29.57,38.2,50.62,2522.67,2522.67,0,1299.17,1223.5,20,5.17,7.46,6.87,5939.89,7.96,0,0,5939.89,7.96,4505.39,692,342.45,382.08,"网下询价,上网定价",余额包销,东吴证券股份有限公司,大华会计师事务所(特殊普通合伙),中铭国际资产评估(北京)有限责任公司,北京市康达律师事务所,2020/11/6,2.38,70.47,0.09,1,广东,计算机、通信和其他电子设备制造业,制造业-电子-电子元器件制造业-电子元件制造业,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,A股,深圳,204.94,-17.38,-17.47,
688219.SH,会通股份,787219,2020/10/27,2020/11/4,2020/11/18,科创板,8.29,38.14,38.33,4592.84,4592.84,0,3283.89,1308.95,10,17.53,3.81,3.28,5292.47,13.9,0,0,5292.47,13.9,2830.19,1509.43,471.7,389.62,"战略配售,网下询价,上网定价",余额包销,中信证券股份有限公司,天健会计师事务所(特殊普通合伙),坤元资产评估有限公司,北京市中伦律师事务所,2020/11/3,1.7,14.08,0.04,1,安徽,橡胶和塑料制品业,,材料--材料Ⅱ--化工--基础化工,A股,上海,373.46,-28.05,-32.2,
003019.SZ,宸展光电,3019,2020/10/26,2020/11/3,2020/11/17,中小企业板,23.58,22.99,50.63,3200,3200,0,320,2880,50,7.55,7.55,6.86,6869.59,9.1,0,0,6869.59,9.1,4982.94,1010.93,408.5,440.57,"网下询价,上网定价",余额包销,海通证券股份有限公司,立信会计师事务所(特殊普通合伙),福建联合中和资产评估土地房地产估价有限公司,北京市天元律师事务所,2020/11/2,9.22,217.39,0.29,1,福建,计算机、通信和其他电子设备制造业,,信息技术--技术硬件与设备--电子设备、仪器和元件--电子元件,A股,深圳,44.02,19.94,11.69,
